region,date,value
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2010-12-31,38396
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2003-12-31,11327
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2006-12-31,17978
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2016-12-31,78407
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2001-12-31,8656
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2009-12-31,35478
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2004-12-31,13808
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2000-12-31,7481
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2014-12-31,64026
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2011-12-31,46725
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2012-12-31,53891
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2002-12-31,9773
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2017-12-31,85714
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2013-12-31,59015
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2018-12-31,93162
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2005-12-31,15326
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2019-12-31,106226
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2020-12-31,119334
АКМОЛИНСКАЯ ОБЛАСТЬ,2012-12-31,44665
АКМОЛИНСКАЯ ОБЛАСТЬ,2004-12-31,9441
АКМОЛИНСКАЯ ОБЛАСТЬ,2014-12-31,52770
АКМОЛИНСКАЯ ОБЛАСТЬ,2009-12-31,28434
АКМОЛИНСКАЯ ОБЛАСТЬ,2010-12-31,31168
АКМОЛИНСКАЯ ОБЛАСТЬ,2003-12-31,7976
АКМОЛИНСКАЯ ОБЛАСТЬ,2000-12-31,4817
АКМОЛИНСКАЯ ОБЛАСТЬ,2005-12-31,11443
АКМОЛИНСКАЯ ОБЛАСТЬ,2011-12-31,39120
АКМОЛИНСКАЯ ОБЛАСТЬ,2006-12-31,14945
АКМОЛИНСКАЯ ОБЛАСТЬ,2017-12-31,72865
АКМОЛИНСКАЯ ОБЛАСТЬ,2001-12-31,5656
АКМОЛИНСКАЯ ОБЛАСТЬ,2016-12-31,65212
АКМОЛИНСКАЯ ОБЛАСТЬ,2008-12-31,26291
АКМОЛИНСКАЯ ОБЛАСТЬ,2013-12-31,47252
АКМОЛИНСКАЯ ОБЛАСТЬ,2015-12-31,56579
АКМОЛИНСКАЯ ОБЛАСТЬ,2002-12-31,6765
АКМОЛИНСКАЯ ОБЛАСТЬ,2007-12-31,20053
АКМОЛИНСКАЯ ОБЛАСТЬ,2018-12-31,80809
АКМОЛИНСКАЯ ОБЛАСТЬ,2019-12-31,91933
АКМОЛИНСКАЯ ОБЛАСТЬ,2020-12-31,107224
АКТЮБИНСКАЯ ОБЛАСТЬ,2002-12-31,9752
АКТЮБИНСКАЯ ОБЛАСТЬ,2013-12-31,55144
АКТЮБИНСКАЯ ОБЛАСТЬ,2016-12-31,65912
АКТЮБИНСКАЯ ОБЛАСТЬ,2011-12-31,42970
АКТЮБИНСКАЯ ОБЛАСТЬ,2017-12-31,74092
АКТЮБИНСКАЯ ОБЛАСТЬ,2010-12-31,36355
АКТЮБИНСКАЯ ОБЛАСТЬ,2001-12-31,8264
АКТЮБИНСКАЯ ОБЛАСТЬ,2008-12-31,35010
АКТЮБИНСКАЯ ОБЛАСТЬ,2015-12-31,60920
АКТЮБИНСКАЯ ОБЛАСТЬ,2007-12-31,24702
АКТЮБИНСКАЯ ОБЛАСТЬ,2009-12-31,33709
АКТЮБИНСКАЯ ОБЛАСТЬ,2003-12-31,11351
АКТЮБИНСКАЯ ОБЛАСТЬ,2000-12-31,6916
АКТЮБИНСКАЯ ОБЛАСТЬ,2006-12-31,19347
АКТЮБИНСКАЯ ОБЛАСТЬ,2005-12-31,16982
АКТЮБИНСКАЯ ОБЛАСТЬ,2004-12-31,13750
АКТЮБИНСКАЯ ОБЛАСТЬ,2012-12-31,50691
АКТЮБИНСКАЯ ОБЛАСТЬ,2014-12-31,60042
АКТЮБИНСКАЯ ОБЛАСТЬ,2018-12-31,80967
АКТЮБИНСКАЯ ОБЛАСТЬ,2019-12-31,92696
АКТЮБИНСКАЯ ОБЛАСТЬ,2020-12-31,98360
АЛМАТИНСКАЯ ОБЛАСТЬ,2009-12-31,22587
АЛМАТИНСКАЯ ОБЛАСТЬ,2003-12-31,6594
АЛМАТИНСКАЯ ОБЛАСТЬ,2015-12-31,53860
АЛМАТИНСКАЯ ОБЛАСТЬ,2007-12-31,16838
АЛМАТИНСКАЯ ОБЛАСТЬ,2008-12-31,22876
АЛМАТИНСКАЯ ОБЛАСТЬ,2004-12-31,8193
АЛМАТИНСКАЯ ОБЛАСТЬ,2014-12-31,47556
АЛМАТИНСКАЯ ОБЛАСТЬ,2011-12-31,34077
АЛМАТИНСКАЯ ОБЛАСТЬ,2017-12-31,64071
АЛМАТИНСКАЯ ОБЛАСТЬ,2001-12-31,4685
АЛМАТИНСКАЯ ОБЛАСТЬ,2000-12-31,3712
АЛМАТИНСКАЯ ОБЛАСТЬ,2006-12-31,12534
АЛМАТИНСКАЯ ОБЛАСТЬ,2005-12-31,9486
АЛМАТИНСКАЯ ОБЛАСТЬ,2013-12-31,43352
АЛМАТИНСКАЯ ОБЛАСТЬ,2012-12-31,39106
АЛМАТИНСКАЯ ОБЛАСТЬ,2002-12-31,5739
АЛМАТИНСКАЯ ОБЛАСТЬ,2010-12-31,26475
АЛМАТИНСКАЯ ОБЛАСТЬ,2016-12-31,60351
АЛМАТИНСКАЯ ОБЛАСТЬ,2018-12-31,69652
АЛМАТИНСКАЯ ОБЛАСТЬ,2019-12-31,79528
АЛМАТИНСКАЯ ОБЛАСТЬ,2020-12-31,86606
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2006-12-31,18738
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2011-12-31,48156
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2017-12-31,82299
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2005-12-31,15561
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2013-12-31,59274
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2002-12-31,10148
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2015-12-31,66841
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2007-12-31,24164
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2008-12-31,36018
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2003-12-31,11549
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2010-12-31,40700
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2012-12-31,54182
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2000-12-31,7769
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2018-12-31,94738
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2001-12-31,8756
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2004-12-31,14051
